,vacancy,name_vac,id_empl,skill
299,37973731,Специалист технической поддержки (аптеки),4612153,Фармацевт
300,37973731,Специалист технической поддержки (аптеки),4612153,Медицинский представитель
301,38082143,Junior Java Developer,246739,"Программирование, Разработка"
302,38082619,Старший специалист по учёту ТМЦ,4181,Бухгалтер
303,38082619,Старший специалист по учёту ТМЦ,4181,Основные средства
304,38082619,Старший специалист по учёту ТМЦ,4181,ТМЦ
305,38082619,Старший специалист по учёту ТМЦ,4181,Первичная документация
306,38082619,Старший специалист по учёту ТМЦ,4181,Бухгалтер
307,38111163,Frontend-разработчик,46769,"Программирование, Разработка"
308,38111163,Frontend-разработчик,46769,Инженер
309,38111163,Frontend-разработчик,46769,Электронная коммерция
310,38111163,Frontend-разработчик,46769,Web инженер
311,38111163,Frontend-разработчик,46769,Web мастер
312,38111473,Специалист отдела кадров,3437792,Учет кадров
313,38116465,Главный специалист по учёту основных средств,4181,Бухгалтер
314,38116465,Главный специалист по учёту основных средств,4181,Основные средства
315,38116465,Главный специалист по учёту основных средств,4181,Учет счетов и платежей
316,38116465,Главный специалист по учёту основных средств,4181,ТМЦ
317,38116465,Главный специалист по учёту основных средств,4181,Бухгалтер
318,38127482,Специалист технической поддержки,90860,Бухгалтер
319,38127482,Специалист технической поддержки,90860,Бюджетирование и планирование
320,38127482,Специалист технической поддержки,90860,"Начальный уровень, Мало опыта"
321,38127482,Специалист технической поддержки,90860,"Поддержка, Helpdesk"
322,38127482,Специалист технической поддержки,90860,Тестирование
323,38127482,Специалист технической поддержки,90860,Интернет
324,38129723,Начальник управления информационными технологиями,1517702,Другое
325,38162985,Бизнес-аналитик (IT),158720,Реинжиниринг бизнес процессов
326,38162985,Бизнес-аналитик (IT),158720,Информационные технологии
327,38162985,Бизнес-аналитик (IT),158720,Системная интеграция
328,38162985,Бизнес-аналитик (IT),158720,Системы управления предприятием (ERP)
329,38162985,Бизнес-аналитик (IT),158720,Аналитик
330,38162985,Бизнес-аналитик (IT),158720,Решения по автоматизации процессов
331,38174462,Инженер ресурсного планирования (КСП),681883,Управление проектами
332,38174462,Инженер ресурсного планирования (КСП),681883,"Проектирование, Архитектура"
333,38183230,Инженер отдела продаж (менеджер по продажам),573422,Тендеры
334,38183230,Инженер отдела продаж (менеджер по продажам),573422,Дистрибуция
335,38183230,Инженер отдела продаж (менеджер по продажам),573422,Прямые продажи
336,38183230,Инженер отдела продаж (менеджер по продажам),573422,Оптовая торговля
337,38183230,Инженер отдела продаж (менеджер по продажам),573422,Менеджер по работе с клиентами
338,38230928,Преподаватель английского языка для взрослых онлайн,1124769,Гуманитарные науки
339,38230928,Преподаватель английского языка для взрослых онлайн,1124769,Языки
340,38230928,Преподаватель английского языка для взрослых онлайн,1124769,Преподавание
341,38232203,Специалист по работе с клиентами банка,3379667,Привлечение клиентов
342,38232203,Специалист по работе с клиентами банка,3379667,Продажа финансовых продуктов
343,38232203,Специалист по работе с клиентами банка,3379667,"Начальный уровень, Мало опыта"
344,38232203,Специалист по работе с клиентами банка,3379667,Пластиковые карты
345,38232203,Специалист по работе с клиентами банка,3379667,"Начальный уровень, Мало опыта"
346,38232203,Специалист по работе с клиентами банка,3379667,"Продажи по телефону, Телемаркетинг"
347,38232423,Специалист по работе с клиентами медицинского центра,3379667,Информационные технологии
348,38232423,Специалист по работе с клиентами медицинского центра,3379667,"Начальный уровень, Мало опыта"
349,38232423,Специалист по работе с клиентами медицинского центра,3379667,Регистратура
350,38232423,Специалист по работе с клиентами медицинского центра,3379667,"Начальный уровень, Мало опыта"
351,38232423,Специалист по работе с клиентами медицинского центра,3379667,"Начальный уровень, Мало опыта"
352,38232423,Специалист по работе с клиентами медицинского центра,3379667,Консультирование
353,38239578,Специалист центра мониторинга и управления нагрузкой (Аналитик),3127,Аналитик
