,id,name,name_vac
445,575665,Татнефть,Специалист
446,32496,Гипротрубопровод,Специалист
447,4925,Kelly Services,Специалист
448,241845,СамараНИПИнефть,Специалист
449,850123,Сеть магазинов женской одежды LIME,Специалист
450,600199,Издательство Армада-Альфа,Специалист
451,3915650,АНО ДПО НОВАТИКА,Специалист
452,1086,Астра Пейдж,Специалист
453,3077756,РН-Учет,Специалист
454,3243699,Волжский проект,Специалист
455,4707636,Николова Татьяна Сергеевна,Специалист
456,36486,Magenta Technology,Специалист
457,3848532,Самур,Специалист
458,3517219,РН-Снабжение - Самара,Специалист
459,4649269,"Иннотех, Группа компаний",Специалист
460,2079247,ПРЕССФИД,Специалист
461,575665,Татнефть,Специалист
462,2487548,Автоматизация Бизнеса,Специалист
463,2487548,Автоматизация Бизнеса,Специалист
464,3529,Сбербанк,Специалист
465,57045,Мегаполис,Специалист
466,683210,DAIMLER KAMAZ RUS,Специалист
467,4515266,Мусаев Сейяд Киняз,Специалист
468,1117630,Центральное Агентство Воздушных Сообщений,Специалист
469,608553,КУЗНЕЦОВ,Специалист
470,577051,Полад,Специалист
471,4759630,Маркелов Алексей Николаевич,Специалист
472,2704245,НефтеГазоТехнологии,Специалист
473,3646686,АЙФЭЛЛ,Специалист
474,3071811,ВЕНТЗАВОД,Специалист
475,132302,Alta Personnel,Специалист
476,1326,ГК «ВИЗАВИ Консалт»,Специалист
477,4922335,ЧОУ ДПО Самарский физико-технический центр,Специалист
478,4586101,Транспортная Компания Пло,Специалист
479,3856380,Эльбрус,Специалист
480,44272,ЭР-Телеком,Специалист
481,1083892,Crest,Специалист
482,805622,Relevant,Специалист
483,5111934,Правовая Коллегия Приоритет,Специалист
484,547382,"Метромакс, ГК",Специалист
485,5032485,Центр Найма Водителей,Специалист
486,44272,ЭР-Телеком,Специалист
487,902137,Директ Кредит,Специалист
488,666502,ВИП Компания,Специалист
489,3529,Сбербанк,Специалист
490,1120275,"NIKA, Интернет-агентство",Специалист
491,1965608,ГБУЗ СО ТГКБ №1,Специалист
492,5297161,STK - клиника,Специалист
493,3095,Инфосистемы Джет,Специалист
494,3321613,Бирюза,Специалист
495,4424912,МКК На Личное,Специалист
496,911510,ПетройлТюнинг,Специалист
497,1197524,Изобилие,Специалист
498,3379667,Сервисная компания Пикта,Специалист
499,2791,Шлюмберже,Специалист
500,5120112,Rabotaika,Специалист
501,3379667,Сервисная компания Пикта,Специалист
502,1274376,АйЭсТи,Специалист
503,3116154,СМАРТС,Специалист
504,44272,ЭР-Телеком,Специалист
505,1063814,КОРПОРАЦИЯ ТОЛЬЯТТИАЗОТ,Специалист
506,44272,ЭР-Телеком,Специалист
507,241845,СамараНИПИнефть,Специалист
508,721946,Компания Деликатесофф,Специалист
509,3945,Netcracker Technology Corp.,Специалист
510,2523,М.Видео-Эльдорадо,Специалист
511,41477,"Голден Груп, г. Самара",Специалист
512,3379667,Сервисная компания Пикта,Специалист
513,1063814,КОРПОРАЦИЯ ТОЛЬЯТТИАЗОТ,Специалист
514,608553,КУЗНЕЦОВ,Специалист
515,7944,Совкомбанк,Специалист
516,80,Альфа-Банк,Специалист
517,3549108,СТАНДАРТ МАСТЕР,Специалист
518,468,"Согласие, страховая компания",Специалист
519,45731,Самара-Лада,Специалист
520,1416149,ТранснефтьЭлектросетьСервис,Специалист
521,22370,"Автоповолжье, г. Самара",Специалист
522,3496805,Бизнес Инфо (ИП Исаев Дмитрий Валериевич),Специалист
523,468,"Согласие, страховая компания",Специалист
524,1063814,КОРПОРАЦИЯ ТОЛЬЯТТИАЗОТ,Специалист
525,4908,IKEA,Специалист
526,7944,Совкомбанк,Специалист
527,2372576,Модные обои,Специалист
528,4925,Kelly Services,Специалист
529,3178678,Самарское РО ФСС РФ,Специалист
530,1689259,JCat.ru,Специалист
531,866545,Юридическая группа МИП,Специалист
532,608553,КУЗНЕЦОВ,Специалист
533,5253539,МИРРОР,Специалист
534,1048066,Военторг-Центр,Специалист
535,1267716,ОАТ Карго,Специалист
536,2476133,ЭКСПРЕСС,Специалист
537,149772,Земский банк,Специалист
538,1846542,ОТРАДНОЕ,Специалист
539,4967392,Brane,Специалист
540,26293,Paul Hartmann,Специалист
541,2806361,УК ДСК-групп,Специалист
542,1217313,МегаФон Ритейл,Специалист
543,3509401,Пекарня TESTO,Специалист
544,5104763,KS-express,Специалист
545,901238,Группа компаний «АсАвто»,Специалист
546,1360260,Гипровостокнефть,Специалист
547,909495,РН-Пурнефтегаз,Специалист
548,47939,Ак Барс Банк,Специалист
549,4181,Банк ВТБ (ПАО),Специалист
550,2908987,Прага,Специалист
551,4181,Банк ВТБ (ПАО),Специалист
552,1245158,МФК Саммит,Специалист
553,4096944,ГБУЗ Самарская областная детская клиническая больница имени Н.Н.Ивановой,Специалист
554,4782113,FlatHunter,Специалист
555,46529,"Балтийский лизинг, группа компаний",Специалист
