,vacancy,spec_name_vac,id_empl,skill,date
14670,43553139,Слесарь-электрик,3565227,Строительство,19-04-2021
14671,43553139,Слесарь-электрик,3565227,Рабочие строительных специальностей,19-04-2021
14672,43553139,Слесарь-электрик,3565227,"Электромонтер, Кабельщик",19-04-2021
14673,43553139,Слесарь-электрик,3565227,Электрик,19-04-2021
14674,43553248,Слесарь-электрик,3565227,Эксплуатация,19-04-2021
14675,43553248,Слесарь-электрик,3565227,Строительство,19-04-2021
14676,43553248,Слесарь-электрик,3565227,Рабочие строительных специальностей,19-04-2021
14677,43553248,Слесарь-электрик,3565227,"Электромонтер, Кабельщик",19-04-2021
14678,43553248,Слесарь-электрик,3565227,Электрик,19-04-2021
14679,43553554,PR-менеджер,668019,"PR, Маркетинговые коммуникации",19-04-2021
14680,43553991,Менеджер по продажам,97088,"Электротехническое оборудование, Светотехника",19-04-2021
14681,43553991,Менеджер по продажам,97088,Строительные материалы,19-04-2021
14682,43553991,Менеджер по продажам,97088,Оптовая торговля,19-04-2021
14683,43553991,Менеджер по продажам,97088,Менеджер по работе с клиентами,19-04-2021
14684,43553991,Менеджер по продажам,97088,Сантехника,19-04-2021
14685,43553991,Менеджер по продажам,97088,"Отопление, вентиляция и кондиционирование",19-04-2021
14686,43554175,Инженер-сметчик,4073,Тендеры,19-04-2021
14687,43554192,Помощник воспитателя,5293857,"Воспитатель, Гувернантка/гувернёр, Няня",19-04-2021
14688,43554192,Помощник воспитателя,5293857,"Наука, Образование",19-04-2021
14689,43554192,Помощник воспитателя,5293857,Дошкольное образование,19-04-2021
14690,43554394,"Сварщик на полуавтомат (г. Рославль, Смоленская обл.)",1648566,Сварщик,19-04-2021
14691,43554399,"Сварщик на полуавтомат (г. Рославль, Смоленская обл.)",1648566,Сварщик,19-04-2021
14692,43554556,Специалист по организации и проведению аукционов (продажа и аренда земельных участков),4451565,Дилерские сети,19-04-2021
14693,43554556,Специалист по организации и проведению аукционов (продажа и аренда земельных участков),4451565,Дистрибуция,19-04-2021
14694,43554556,Специалист по организации и проведению аукционов (продажа и аренда земельных участков),4451565,Менеджер по работе с клиентами,19-04-2021
14695,43554556,Специалист по организации и проведению аукционов (продажа и аренда земельных участков),4451565,Торговые сети,19-04-2021
14696,43554748,Системный администратор Windows,156424,Системный администратор,19-04-2021
14697,43555087,Инженер по тестированию,2563058,Тестирование,19-04-2021
14698,43555303,Ведущий инженер отдела закупок и маркетинга (специалист по тендерам),1360260,Тендеры,19-04-2021
14699,43555303,Ведущий инженер отдела закупок и маркетинга (специалист по тендерам),1360260,Тендеры,19-04-2021
14700,43555571,Оператор call-центра,18239,Другое,19-04-2021
14701,43555571,Оператор call-центра,18239,"Начальный уровень, Мало опыта",19-04-2021
14702,43555571,Оператор call-центра,18239,Сотрудник call-центра,19-04-2021
14703,43555571,Оператор call-центра,18239,Финансовые услуги,19-04-2021
14704,43555571,Оператор call-центра,18239,Прямые продажи,19-04-2021
14705,43555571,Оператор call-центра,18239,"Начальный уровень, Мало опыта",19-04-2021
14706,43555852,Менеджер по закупкам,1327634,Металлопрокат,19-04-2021
14707,43555852,Менеджер по закупкам,1327634,Электротехническое оборудование/светотехника,19-04-2021
14708,43555852,Менеджер по закупкам,1327634,"Станки, Тяжелое оборудование",19-04-2021
14709,43555852,Менеджер по закупкам,1327634,Закупки и снабжение,19-04-2021
14710,43555852,Менеджер по закупкам,1327634,Металлургия,19-04-2021
14711,43556236,Ведущий программист .NET (Application Inspector),26624,"Программирование, Разработка",19-04-2021
14712,43556236,Ведущий программист .NET (Application Inspector),26624,Компьютерная безопасность,19-04-2021
14713,43556322,Специалист по рефинансированию,125462,"Взыскание задолженности, Коллекторская деятельность",19-04-2021
14714,43556322,Специалист по рефинансированию,125462,"Взыскание задолженности, Коллекторская деятельность",19-04-2021
14715,43556322,Специалист по рефинансированию,125462,Работа с проблемными заемщиками,19-04-2021
14716,43556619,Менеджер по продажам (со знанием таджикского/узбекского языка),2476133,Менеджер по работе с клиентами,19-04-2021
14717,43556619,Менеджер по продажам (со знанием таджикского/узбекского языка),2476133,"Продажи по телефону, Телемаркетинг",19-04-2021
14718,43556645,Инженер-сметчик,1172287,Тендеры,19-04-2021
14719,43556645,Инженер-сметчик,1172287,Инженер,19-04-2021
14720,43556645,Инженер-сметчик,1172287,"Проектирование, Архитектура",19-04-2021
14721,43556645,Инженер-сметчик,1172287,Расчет себестоимости,19-04-2021
14722,43556645,Инженер-сметчик,1172287,Экономист,19-04-2021
14723,43556749,HR-директор/Директор по персоналу,5283731,Управление персоналом,19-04-2021
14724,43557078,Менеджер по продаже зарплатных проектов,3529,Привлечение клиентов,19-04-2021
14725,43557078,Менеджер по продаже зарплатных проектов,3529,Продажа финансовых продуктов,19-04-2021
14726,43557078,Менеджер по продаже зарплатных проектов,3529,Пластиковые карты,19-04-2021
14727,43557078,Менеджер по продаже зарплатных проектов,3529,Коммерческий банк,19-04-2021
14728,43557078,Менеджер по продаже зарплатных проектов,3529,Услуги для бизнеса,19-04-2021
14729,43557078,Менеджер по продаже зарплатных проектов,3529,Прямые продажи,19-04-2021
14730,43557306,Data Engineer,733,"Программирование, Разработка",19-04-2021
14731,43557306,Data Engineer,733,Системная интеграция,19-04-2021
14732,43557306,Data Engineer,733,"Консалтинг, Аутсорсинг",19-04-2021
14733,43557306,Data Engineer,733,Системы управления предприятием (ERP),19-04-2021
14734,43557306,Data Engineer,733,Инженер,19-04-2021
14735,43557387,Специалист по прямым продажам,2476133,Прямые продажи,19-04-2021
14736,43557387,Специалист по прямым продажам,2476133,Торговый представитель,19-04-2021
